obec,strana,pocet
530867,530867,34
530867,530867,25
530867,530867,3
530867,530867,4
530867,530867,74
530867,530867,3
530867,530867,1
530867,530867,8
532614,532614,15
532614,18,0
532614,532614,4
532614,532614,2
532614,532614,18
532614,532614,6
532614,532614,1
532614,06,0
532614,532614,16
532614,02,0
532614,13,0
532614,11,0
530905,530905,256
530905,530905,27
530905,530905,113
530905,530905,37
530905,530905,701
530905,530905,268
530905,530905,78
530905,530905,12
530905,530905,919
530905,530905,26
530905,530905,11
530905,530905,194
530921,530921,19
530921,530921,2
530921,530921,6
530921,530921,3
530921,530921,47
530921,530921,15
530921,530921,2
530921,06,0
530921,530921,79
530921,530921,1
530921,13,0
530921,530921,17
532266,532266,7
532266,18,0
532266,10,0
532266,532266,3
532266,532266,23
532266,532266,4
532266,532266,2
532266,06,0
532266,532266,11
532266,02,0
532266,532266,1
532266,532266,4
571415,571415,6
571415,571415,1
571415,571415,1
571415,571415,1
571415,571415,6
571415,571415,4
571415,571415,2
571415,06,0
571415,571415,8
571415,02,0
571415,13,0
571415,571415,1
531057,531057,463
531057,531057,85
531057,531057,446
531057,531057,123
531057,531057,3330
531057,531057,1156
531057,531057,332
531057,531057,38
531057,531057,3283
531057,531057,67
531057,531057,35
531057,531057,734
531081,531081,15
531081,531081,9
531081,531081,19
531081,531081,7
531081,531081,152
531081,531081,88
531081,531081,12
531081,531081,1
531081,531081,141
531081,531081,9
531081,531081,3
531081,531081,33
531103,531103,6
531103,531103,1
531103,531103,4
531103,531103,3
531103,531103,41
531103,531103,18
531103,531103,3
531103,06,0
531103,531103,74
531103,531103,2
531103,13,0
531103,531103,1
531120,531120,10
531120,531120,7
531120,531120,11
531120,531120,7
531120,531120,64
531120,531120,62
531120,531120,4
531120,531120,3
531120,531120,94
531120,531120,2
531120,531120,3
531120,531120,19
531154,531154,36
531154,531154,9
531154,531154,13
531154,531154,5
531154,531154,91
531154,531154,127
531154,531154,6
531154,531154,1
531154,531154,118
531154,531154,4
531154,13,0
531154,531154,18
531171,531171,11
531171,531171,3
531171,531171,9
531171,531171,4
531171,531171,176
531171,531171,13
