505218,653,178,9,12,47,6,54,,,2,2,49,,4,,10,,66,9,,159,128,,5
505269,408,109,18,13,55,2,43,,,1,,86,,,,10,,54,6,,134,113,1,11,2
505293,579,213,13,23,69,3,58,,,2,1,79,,5,,18,,92,13,,164,163,,20,3
505366,517,151,15,23,39,3,33,,,3,1,65,,3,,19,,48,6,,221,153,,16,2
505391,95,71,1,1,6,2,7,,1,2,1,11,,2,,6,,8,,,29,52,,,1
505501,513,174,6,10,15,,19,,,4,1,30,,,,14,,58,6,,149,102,,7,1
505528,88,35,8,5,20,,5,,,1,,5,,3,,3,,13,3,,64,27,,6
505587,4229,1354,102,148,384,14,383,,,11,15,385,,11,,51,,496,48,,905,971,1,122,6
505609,867,281,32,49,189,5,98,,,9,2,150,,6,,28,,112,13,,375,210,,41,1
505650,799,258,34,44,95,7,64,,,2,,185,,3,,12,,109,7,,315,178,,32,4
505668,393,141,7,11,54,4,30,,,2,1,27,,2,,9,,80,7,,113,92,,26,2
505781,234,56,2,9,48,3,35,2,,2,4,16,,4,1,1,,26,1,,57,39,,12
505862,145,39,4,5,15,1,11,,,,1,47,,,,2,,25,1,,36,23,,2,4
505927,20736,6284,552,695,2344,135,2054,,,216,38,1827,,59,,429,,1843,249,,5504,3758,16,927,51
506192,509,159,8,19,65,3,47,,,4,1,188,,2,,11,,63,8,,167,63,,14
506214,1433,444,23,59,448,6,89,,,4,8,169,,4,,24,,143,12,,408,239,,23,4
506320,521,197,8,26,22,6,43,,,4,6,20,,3,,18,,58,5,,128,139,2,14
506451,387,169,13,12,45,1,16,,,2,2,103,,,,11,,67,8,,120,120,,6,2
506460,1276,252,37,17,54,9,79,,,1,,81,,3,,23,,100,25,,147,288,1,15,7
506486,50,12,2,8,59,2,6,,,1,,2,,,,4,,6,,,29,16,1,11,1
506494,88,37,3,3,24,1,20,,,,,,,,,3,,15,15,,44,32,1,3
506621,74,13,,1,2,,8,,,,,2,,,,,,,,,8,22,,1
506664,95,25,2,6,4,,8,,,,1,3,,2,,5,,6,1,,17,45
506699,40,18,2,6,20,2,12,,,,,31,,,,,,7,,,64,11,,3
506702,1513,560,56,47,168,6,94,,,4,1,216,,4,,46,,147,16,,296,197,1,37,1
506711,335,160,15,28,66,4,75,,,7,2,92,,3,,12,,45,7,,158,132,6,16,3
506729,66,17,,,6,,11,,,,,3,,,1,3,,10,,,24,16,,1
506737,498,130,27,8,50,1,58,,,4,,136,,1,,18,,155,5,,148,109,1,11,2
506753,881,406,34,45,144,8,113,,,9,4,134,,3,,34,,127,15,,299,396,1,48,4
506761,81,26,,5,12,,4,,,,,6,,1,,2,,12,,,29,22,,5
506770,129,78,5,13,20,,21,,,,1,29,,2,,4,,18,,,58,37,,3,3
507016,4895,1661,134,131,433,34,304,,,40,15,568,,19,,141,,599,83,,1198,1032,1,178,11
507091,653,325,10,21,44,8,53,,,4,1,125,,3,,47,,66,2,,166,102,,9,1
507105,293,109,11,8,55,1,26,,,1,4,90,,3,,15,,49,6,,115,41,,11,2
507113,497,150,5,9,29,3,32,,,3,3,30,,2,,12,,63,8,,159,92,1,13,2
507181,265,93,6,15,50,,37,,,4,1,48,,2,,7,,39,3,,84,81,,8
507237,361,173,6,12,45,3,46,,,,,94,,3,,15,,44,1,,79,116,1,5,2
507261,352,204,2,14,48,2,29,,,5,5,62,,5,,10,,50,9,,106,106,2,14,1
507270,1615,649,41,59,200,21,137,,,13,4,308,,6,,46,,183,19,,623,425,1,63,2
507334,453,152,10,6,54,1,52,,,5,,71,,,,6,,45,13,,97,77,,15
507377,401,94,4,10,11,1,15,,,,1,20,,3,,11,,39,2,,84,139,1,8,2
507423,560,195,25,22,68,6,67,,,2,3,100,,1,,23,,80,4,,154,180,1,19,1
507458,139,53,4,3,6,2,15,,,2,,26,,,,8,,3,1,,20,25,,1
507504,1154,326,48,34,118,8,54,,,8,1,248,,2,,26,,149,15,,249,148,,40,3
507547,469,205,8,6,22,4,19,,,1,,98,,,,23,,46,3,,71,61,,9
507580,2604,612,37,63,262,11,211,,,5,6,361,,7,,41,,257,21,,635,280,,37,4
507610,25,8,1,,12,1,6,,,1,,3,,,,,,2,1,,5,3
507628,64,31,1,10,8,1,6,,,,,6,,,,1,,2,1,,18,15,,1
507644,20,14,,1,3,1,5,,,,1,3,,,,,,6,,,3,5
507652,17,17,1,,5,,4,,,,1,1,,,,,,6,,,3,7
507695,44,8,,2,9,,3,,,,,1,,,,,,2,,,16,9,,,1
507717,158,77,3,6,2,,6,,,,1,18,,,,1,,24,,,14,36,,2
507733,45,22,1,1,8,,5,,,,,13,,3,,5,,10,,,4,4
507784,63,34,3,2,10,,6,,,,1,,,,,2,,8,,,17,12,,4,1
507920,233,79,7,6,27,2,26,,,2,2,39,,3,,6,,53,6,,86,106,,5,1
507971,1524,672,27,55,156,20,132,,,16,6,217,,6,,59,,205,32,,441,311,,54,1
508004,64,19,3,,14,,7,,,,,10,,,,2,,8,,,10,17,,7
508128,581,211,18,15,50,9,59,,,3,,105,,,,72,,57,11,,194,142,2,14,2
508144,274,48,1,5,6,1,10,,,,,11,,,,4,,21,1,,79,57,,2
508152,231,56,3,4,31,1,17,,,4,1,9,,,,11,,21,3,,43,48,,6
508357,50,24,2,7,12,,3,,,,,29,,,,,,11,,,7,10,,1
508373,298,119,11,16,42,1,58,,,5,3,62,,1,,9,,48,5,,110,100,,27
508501,127,43,2,5,42,4,19,,,2,2,8,,,,2,,15,1,,45,42,,21,3
508683,21,5,1,,12,,7,,,,,7,,,,1,,8,,,6,3
509078,108,61,9,8,28,,10,,,3,,8,,2,,5,,43,2,,53,38,,6
509108,95,39,,5,19,1,21,,,5,,7,,,,1,,10,,,19,34,1,3
509116,63,38,2,3,3,,1,,,1,,13,,2,,2,,12,2,,10,16
509141,93,37,3,4,13,,12,,,,3,17,,2,,,,25,9,,23,27,1,2
509191,81,16,1,6,12,,6,,,1,,4,,,,,,10,5,,15,14
509388,17,25,3,1,3,,,,,3,,5,,,,,,2,1,,9,5
509418,17,19,1,3,7,,5,,,,,1,,,,,,5,1,,23,7,,3
509574,463,161,6,19,35,,26,,,2,,63,,1,,14,,63,3,,133,67,,19
509612,415,130,13,12,60,4,31,,,5,3,40,,2,,15,,65,5,,170,124,,22,3
