obec,strana,pocet
532606,13,0
532606,11,5
529818,1,28
529818,18,2
529818,10,3
529818,4,1
529818,5,73
529818,9,7
529818,12,11
529818,06,0
529818,7,112
529818,2,7
529818,13,0
529818,11,18
532037,1,24
532037,18,2
532037,10,6
532037,4,1
532037,5,27
532037,9,10
532037,12,6
532037,06,0
532037,7,33
532037,2,2
532037,13,0
532037,11,5
529842,1,76
529842,18,7
529842,10,51
529842,4,3
529842,5,85
529842,9,70
529842,12,37
529842,6,1
529842,7,169
529842,2,9
529842,13,4
529842,11,26
529851,1,20
529851,18,0
529851,10,1
529851,4,1
529851,5,8
529851,9,6
529851,12,5
529851,06,0
529851,7,37
529851,2,1
529851,13,0
529851,11,11
532134,1,22
532134,18,1
532134,10,4
532134,4,1
532134,5,8
532134,9,16
532134,12,2
532134,06,0
532134,7,30
532134,02,0
532134,13,1
532134,11,4
531031,1,15
531031,18,1
531031,10,9
531031,04,0
531031,5,32
531031,9,9
531031,12,5
531031,06,0
531031,7,49
531031,02,0
531031,13,0
531031,11,7
529907,1,21
529907,18,1
529907,10,1
529907,04,0
529907,5,37
529907,9,11
529907,12,8
529907,6,2
529907,7,57
529907,02,0
529907,13,0
529907,11,3
533084,1,25
533084,18,4
533084,10,6
533084,4,10
533084,5,36
533084,9,12
533084,12,9
533084,06,0
533084,7,58
533084,2,2
533084,13,1
533084,11,19
529931,1,67
529931,18,1
529931,10,12
529931,04,0
529931,5,64
529931,9,22
529931,12,4
529931,06,0
529931,7,77
529931,2,3
529931,13,0
529931,11,28
529940,1,26
529940,18,0
529940,10,6
529940,4,5
529940,5,46
529940,9,14
529940,12,10
529940,06,0
529940,7,40
529940,2,2
529940,13,1
529940,11,13
529958,1,40
529958,18,5
529958,10,17
529958,4,7
529958,5,171
529958,9,41
529958,12,30
529958,6,2
529958,7,181
529958,2,7
529958,13,4
529958,11,46
529974,1,11
529974,18,2
529974,10,10
529974,4,4
529974,5,83
529974,9,22
529974,12,13
529974,06,0
529974,7,70
529974,2,1
529974,13,0
529974,11,18
529991,1,81
529991,18,11
529991,10,10
529991,4,14
529991,5,120
529991,9,83
529991,12,19
529991,06,0
529991,7,139
529991,2,7
529991,13,0
529991,11,45
530000,1,53
530000,18,2
530000,10,10
530000,04,0
530000,5,49
530000,9,22
530000,12,11
530000,6,2
530000,7,91
530000,2,1
530000,13,1
530000,11,18
530026,1,41
530026,18,0
530026,10,0
530026,04,0
530026,5,8
530026,9,1
530026,12,1
530026,06,0
530026,7,14
530026,02,0
530026,13,0
530026,11,1
530051,1,13
530051,18,2
530051,10,4
530051,04,0
530051,5,84
530051,9,42
530051,12,12
530051,06,0
530051,7,131
530051,2,4
530051,13,15
530051,11,19
530069,1,18
530069,18,3
530069,10,3
530069,04,0
530069,5,20
530069,9,13
530069,12,2
530069,06,0
530069,7,26
530069,2,1
530069,13,0
530069,11,4
532258,1,14
532258,18,0
532258,10,2
532258,04,0
532258,5,2
532258,9,5
532258,12,3
532258,06,0
532258,7,16
532258,02,0
532258,13,0
532258,11,3
530093,1,82
530093,18,7
530093,10,16
530093,4,4
530093,5,55
530093,9,15
530093,12,17
530093,6,2
530093,7,158
530093,2,2
530093,13,0
530093,11,19
530107,1,64
530107,18,2
530107,10,15
530107,4,1
530107,5,118
530107,9,49
530107,12,12
530107,06,0
530107,7,131
530107,2,9
530107,13,2
530107,11,50
532193,1,16
532193,18,3
532193,10,8
532193,4,3
532193,5,92
532193,9,25
532193,12,3
532193,06,0
532193,7,68
532193,2,1
532193,13,0
532193,11,19
530115,1,56
530115,18,6
530115,10,16
530115,4,4
530115,5,87
530115,9,54
530115,12,15
530115,6,1
530115,7,179
530115,2,8
530115,13,0
530115,11,32
530158,1,30
530158,18,0
530158,10,3
530158,4,5
530158,5,72
530158,9,26
530158,12,10
530158,6,2
530158,7,72
530158,2,2
530158,13,1
530158,11,24
530166,1,61
530166,18,6
530166,10,26
530166,4,8
530166,5,124
530166,9,64
530166,12,20
530166,6,2
530166,7,194
530166,2,13
530166,13,0
530166,11,56
530174,1,24
530174,18,0
530174,10,2
530174,4,2
530174,5,28
530174,9,7
530174,12,0
530174,06,0
530174,7,24
530174,02,0
530174,13,0
530174,11,11
530191,1,41
530191,18,0
530191,10,2
530191,04,0
530191,5,19
530191,9,15
530191,12,8
530191,6,1
530191,7,49
530191,2,1
530191,13,1
530191,11,13
530204,1,18
530204,18,3
